Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
AKM6230B,MIXER ANKARSRUM ORIGINAL - BLACK,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230BC,MIXER ANKARSRUM ORIGINAL - BLACK CHROME,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230BD,MIXER ANKARSRUM ORIGINAL - BLACK DIAMOND,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230C,MIXER ANKARSRUM ORIGINAL - CREME,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230CC,MIXER ANKARSRUM ORIGINAL - CORAL CRUSH,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230HB,MIXER ANKARSRUM ORIGINAL - HARMONY BEIDGE,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230JS,MIXER ANKARSRUM ORIGINAL - JUBILEE SILVER,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230MW,MIXER ANKARSRUM ORIGINAL - MINERAL WHITE,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230OB,MIXER ANKARSRUM ORIGINAL - OCEAN BLUE,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230OG,MIXER ANKARSRUM ORIGINAL - OLIVE GREEN,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
