Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
PCG/SF58VS,UPRIGHT FREEZER - 580LT,CaterMarket,True,EACH,26381.25,27183.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,20100.0,0,Sales,Purchases
PCG/SR12VS,DISCONTINUED!!! --- UPRIGHT FRIDGE - 120LT,DISCONTINUED,True,EACH,11025.0,0.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,8400.0,0,Sales,Purchases
PCG/SR30VGS,UPRIGHT FRIDGE WITH GLASS DOOR - 300LT,CaterMarket,True,EACH,20475.0,21097.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,15600.0,0,Sales,Purchases
PCG/SR30VS,UPRIGHT FRIDGE - 300LT,CaterMarket,True,EACH,19490.625,20083.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,14850.0,0,Sales,Purchases
PCG/SR58VGS,UPRIGHT FRIDGE WITH GLASS DOOR - 580LT,CaterMarket,True,EACH,24215.625,24951.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18450.0,0,Sales,Purchases
PCG/SR58VS,UPRIGHT FRIDGE - 580LT,CaterMarket,True,EACH,22443.75,23126.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,17100.0,0,Sales,Purchases
PCY/EBF-03,BLAST CHILLER - 3 PAN,CaterMarket,True,EACH,35437.5,36514.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,27000.0,0,Sales,Purchases
PCY/EBF-05,BLAST CHILLER - 5 PAN,CaterMarket,True,EACH,44100.0,45441.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,33600.0,-1,Sales,Purchases
PCY/EBF-10,BLAST CHILLER - 10 PAN,CaterMarket,True,EACH,80718.75,83172.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,61500.0,0,Sales,Purchases
PCY/ESL3861,PIZZA INGREDIENT FRIDGE - 6 DIV,CaterMarket,True,EACH,12009.375,12374.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9150.0,-1,Sales,Purchases
PCY/ESL3861S,PIZZA INGREDIENT FRIDGE WITH S/S LID - 6 DIV,CaterMarket,True,EACH,12009.375,12374.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9150.0,0,Sales,Purchases
PCY/ESL3888,PIZZA INGREDIENT FRIDGE - 8 DIV,CaterMarket,True,EACH,12993.75,13388.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9900.0,-1,Sales,Purchases
PCY/ESL3888S,PIZZA INGREDIENT FRIDGE WITH S/S LID - 8 DIV,CaterMarket,True,EACH,12993.75,13388.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9900.0,0,Sales,Purchases
PCY/MBF8113,SINGLE DOOR UPRIGHT FREEZER,CaterMarket,True,EACH,35831.25,36920.75,True,,,,,,,,,,,,,Standard Rate,Standard Rate,27300.0,0,Sales,Purchases
PCY/MBF8114,DOUBLE DOOR UPRIGHT FREEZER,CaterMarket,True,EACH,51187.5,52743.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,39000.0,0,Sales,Purchases
PCY/MBF8116,SINGLE DOOR UPRIGHT FRIDGE,CaterMarket,True,EACH,30318.75,31240.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,23100.0,0,Sales,Purchases
PCY/MBF8117,DOUBLE DOOR UPRIGHT FRIDGE,CaterMarket,True,EACH,42525.0,43817.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,32400.0,-1,Sales,Purchases
PFS-YXD-25D,PRESSURE FRYER - 25LT,CaterMarket,True,EACH,64968.75,66943.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,49500.0,-2,Sales,Purchases
PFS-YXD-B3,PRESSURE FRYER BASKET - 3 LAYER,CaterMarket,True,EACH,1771.875,1826.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1350.0,0,Sales,Purchases
PFS-YXD-BH,HANDLE FOR PRESSURE FRYER SQUARE BASKET,CaterMarket,True,EACH,393.75,405.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,300.0,0,Sales,Purchases
PFS-YXD-BO,PRESSURE FRYER BASKET - OPEN,CaterMarket,True,EACH,1181.25,1216.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,900.0,0,Sales,Purchases
PFS-YXY-25D,PRESSURE FRYER - GAS - 25LT,CaterMarket,True,EACH,76781.25,79115.4,True,,,,,,,,,,,,,Standard Rate,Standard Rate,58500.0,0,Sales,Purchases
PLA-1100-D3D-39,2 DOOR FOOD SERVING TROLLEY,CaterMarket,True,EACH,24412.5,25155.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18600.0,0,Sales,Purchases
PLA-1100-S3D-39,SINGLE DOOR FOOD SERVING TROLEY,CaterMarket,True,EACH,16537.5,17040.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,12600.0,0,Sales,Purchases
PLA-1100-T3D-39,3 DOOR FOOD SERVING TROLLEY,CaterMarket,True,EACH,28743.75,29617.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,21900.0,0,Sales,Purchases
PLA-HSL-11,1/1 GN - HERMETIC SEAL LID,CaterMarket,True,EACH,196.875,202.4,True,,,,,,,,,,,,,Standard Rate,Standard Rate,150.0,0,Sales,Purchases
PMB0010,PLANETARY MIXER - 10LT,CaterMarket,True,EACH,14568.75,15012.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11100.0,0,Sales,Purchases
PMB0020,PLANETARY MIXER - 20LT,CaterMarket,True,EACH,16931.25,17445.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,12900.0,0,Sales,Purchases
PMB0030,PLANETARY MIXER - 30LT,CaterMarket,True,EACH,22443.75,23126.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,17100.0,-1,Sales,Purchases
PMB0040,PLANETARY MIXER - 40LT,CaterMarket,True,EACH,41343.75,42600.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,31500.0,-1,Sales,Purchases
