Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
-,ZZ,,TRUE,,0.00,0.00,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,0.00,-53,Sales,Purchases
1015A21,MADISON - BORDEAUX - 59CL (24),BCE,TRUE,EACH,36.85,42.38,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,29.48,0,Sales,Purchases
1015C10,MADISON - MARTINI - 28.5CL (24),BCE,TRUE,EACH,49.95,57.44,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,39.96,0,Sales,Purchases
1015D22,MADISON - BURGUNDY - 65CL (24),BCE,TRUE,EACH,54.95,63.19,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,43.96,0,Sales,Purchases
1015F07,MADISON - FLUTE - 21CL (24),BCE,TRUE,EACH,37.15,42.72,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1015G15,MADISON - WATER GOBLET - 42.5CL (24),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,28.68,0,Sales,Purchases
1015M12,MADISON - MARGARITA - 34.5CL (24),BCE,TRUE,EACH,38.45,44.22,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,30.76,0,Sales,Purchases
1015N22,MADISON - COGNAC - 65CL (24),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,28.68,0,Sales,Purchases
1015R15,MADISON - RED WINE - 42.5CL (24),BCE,TRUE,EACH,36.35,41.80,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,29.08,0,Sales,Purchases
1015W12,MADISON - WHITE WINE - 35CL (24),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,26.76,-24,Sales,Purchases
1019C07,LEXINGTON - COCKTAIL - 20.5CL (48),BCE,TRUE,EACH,39.45,45.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,31.56,0,Sales,Purchases
1019F06,LEXINGTON - FLUTE CHAMPAGNE - 18.5CL (48),BCE,TRUE,EACH,38.45,44.22,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,-48,Sales,Purchases
1019G13,LEXINGTON - WHITE WINE - 37CL (48),BCE,TRUE,EACH,38.45,44.22,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,30.76,0,Sales,Purchases
1019R16,LEXINGTON - RED WINE - 45.5CL (48),BCE,TRUE,EACH,39.45,45.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,31.56,0,Sales,Purchases
