Clean SKU,Stripped SKU,ORDER CODE,BRAND,Unnamed: 4,Unnamed: 5,LIST PRICE,DEALERS DISCOUNT,Unnamed: 8,Our Price,Our Price Values,Unnamed: 11,Compared to Sage,Compared to Generated
,,PAGE 6,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
VPS0001,VPS0001,VPS0001,SMARTCHEF,VEG PREP MACHINE WITH 5 BLADES,,13800,0.25,0.3,10350.0,10350.0,,VPS0001,VPS0001
VPS0002,VPS0002,VPS0002,SMARTCHEF,VEG PREP MACHINE WITH 5 BLADES - WIDE MOUTH ,,14800,0.25,0.3,11100.0,11100.0,,VPS0002,VPS0002
VPS1003,VPS1003,VPS1003,SMARTCHEF,GRATING BLADE - 3MM,,800,0.25,0.3,600.0,600.0,,VPS1003,VPS1003
VPS1004,VPS1004,VPS1004,SMARTCHEF,GRATING BLADE - 4MM,,800,0.25,0.3,600.0,600.0,,VPS1004,VPS1004
VPS1007,VPS1007,VPS1007,SMARTCHEF,GRATING BLADE - 7MM,,800,0.25,0.3,600.0,600.0,,VPS1007,VPS1007
VPS2002,VPS2002,VPS2002,SMARTCHEF,SLICING BLADE - 2MM,,800,0.25,0.3,600.0,600.0,,VPS2002,VPS2002
VPS2004,VPS2004,VPS2004,SMARTCHEF,SLICING BLADE - 4MM,,800,0.25,0.3,600.0,600.0,,VPS2004,VPS2004
VPS2008,VPS2008,VPS2008,SMARTCHEF,SLICING BLADE - 8MM,,1200,0.25,0.3,900.0,900.0,,VPS2008,VPS2008
VPS2010,VPS2010,VPS2010,SMARTCHEF,SLICING BLADE - 10MM,,1200,0.25,0.3,900.0,900.0,,VPS2010,VPS2010
VPS2014,VPS2014,VPS2014,SMARTCHEF,SLICING BLADE - 14MM,,1200,0.25,0.3,900.0,900.0,,VPS2014,VPS2014
VPS3001,VPS3001,VPS3001,SMARTCHEF,CURVED SLICING BLADE - 1MM,,1200,0.25,0.3,900.0,900.0,,VPS3001,VPS3001
VPS3002,VPS3002,VPS3002,SMARTCHEF,CURVED SLICING BLADE - 2MM,,1200,0.25,0.3,900.0,900.0,,VPS3002,VPS3002
VPS3005,VPS3005,VPS3005,SMARTCHEF,CURVED SLICING BLADE - 5MM,,1200,0.25,0.3,900.0,900.0,,VPS3005,VPS3005
VPS4008,VPS4008,VPS4008,SMARTCHEF,CHIPPING BLADE - 8MM,,1200,0.25,0.3,900.0,900.0,,VPS4008,VPS4008
VPS4010,VPS4010,VPS4010,SMARTCHEF,CHIPPING BLADE - 10MM,,1200,0.25,0.3,900.0,900.0,,VPS4010,VPS4010
VPS5025,VPS5025,VPS5025,SMARTCHEF,JULIENNE BLADE - 2.5MM,,1200,0.25,0.3,900.0,900.0,,VPS5025,VPS5025
VPS5004,VPS5004,VPS5004,SMARTCHEF,JULIENNE BLADE - 4MM,,1200,0.25,0.3,900.0,900.0,,VPS5004,VPS5004
VPS5008,VPS5008,VPS5008,SMARTCHEF,JULIENNE BLADE - 8MM,,1200,0.25,0.3,900.0,900.0,,VPS5008,VPS5008
VPS5010,VPS5010,VPS5010,SMARTCHEF,JULIENNE BLADE - 10MM,,1200,0.25,0.3,900.0,900.0,,VPS5010,VPS5010
VPS6008,VPS6008,VPS6008,SMARTCHEF,DICING BLADE - 8MM,,1200,0.25,0.3,900.0,900.0,,VPS6008,VPS6008
VPS6010,VPS6010,VPS6010,SMARTCHEF,DICING BLADE - 10MM,,1200,0.25,0.3,900.0,900.0,,VPS6010,VPS6010
VPS6012,VPS6012,VPS6012,SMARTCHEF,DICING BLADE - 12MM,,1200,0.25,0.3,900.0,900.0,,VPS6012,VPS6012
VPS6020,VPS6020,VPS6020,SMARTCHEF,DICING BLADE - 20MM,,1200,0.25,0.3,900.0,900.0,,VPS6020,VPS6020
VPS7001,VPS7001,VPS7001,SMARTCHEF,PARMASAN GRATING BLADE,,800,0.25,0.3,600.0,600.0,,VPS7001,VPS7001
VPS9000,VPS9000,VPS9000,SMARTCHEF,EJECTOR PLATE,,400,0.25,0.3,300.0,300.0,,VPS9000,VPS9000
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
,,,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
BCS0035,BCS0035,"BCS0035
",SMARTCHEF,BOWL CUTTER - 35LT,,39400,0.25,0.3,29550.0,29550.0,,,
BCS0018,BCS0018,"BCS0018
",SMARTCHEF,BOWL CUTTER - 18LT,,28600,0.25,0.3,21450.0,21450.0,,,
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 7,PAGE 7,PAGE 7,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
BCS0009,BCS0009,BCS0009,SMARTCHEF,BOWL CUTTER - 9LT,,11000,0.25,0.3,8250.0,8250.0,,BCS0009,BCS0009
TSS0004,TSS0004,TSS0004,SMARTCHEF,TOMATO SLICER - 4MM,,3200,0.25,0.3,2400.0,2400.0,,TSS0004,TSS0004
XTSS0004-POS2,XTSS0004-POS2,XTSS0004-POS2,SMARTCHEF,BLADE SET FOR TOMATO SLICER,,1200,0.25,0.3,900.0,900.0,,XTSS0004-POS2,XTSS0004-POS2
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
,,,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
PPS0015,PPS0015,"PPS0015
",SMARTCHEF,POTATO PEELER - 15KG,,18800,0.25,0.3,14100.0,14100.0,,,
PPS0006,PPS0006,"PPS0006
",SMARTCHEF,POTATO PEELER - 6KG,,12200,0.25,0.3,9150.0,9150.0,,,
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 8,PAGE 8,PAGE 8,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
BSB1680C/C,BSB1680C/C,BSB1680C/C,SMARTBLEND,"BLENDER WITH DIGITAL CONTROL, 2LT JUG & SOUND PROOF COVER",P,6800,0.25,0.3,5100.0,5100.0,,BSB1680C/C,BSB1680C/C
BSB1680,BSB1680,BSB1680,SMARTBLEND,BLENDER WITH 2LT JUG,P,3800,0.25,0.3,2850.0,2850.0,,BSB1680,BSB1680
BSB1680-JAR2LT,BSB1680-JAR2LT,BSB1680-JAR2LT,SMARTBLEND,COMPLETE SPARE JUG FOR 1680 & 1680C/C BLENDERS - 2LT,,1600,0.25,0.3,1200.0,1200.0,,BSB1680-JAR2LT,BSB1680-JAR2LT
BSB1680-S/COVER,BSB1680-S/COVER,BSB1680-S/COVER,SMARTBLEND,SOUND COVER FOR 1680 BLENDER ,,2400,0.25,0.3,1800.0,1800.0,,BSB1680-S/COVER,BSB1680-S/COVER
BSB0112,BSB0112,BSB0112,SMARTBLEND,BLENDER WITH 2LT JUG,P,2600,0.25,0.3,1950.0,1950.0,,BSB0112,BSB0112
BSB0112-JAR2LT,BSB0112-JAR2LT,BSB0112-JAR2LT,SMARTBLEND,COMPLETE SPARE JUG FOR 112 BLENDER- 2LT,,1200,0.25,0.3,900.0,900.0,,BSB0112-JAR2LT,BSB0112-JAR2LT
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 9,PAGE 9,PAGE 9,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
FCS0009,FCS0009,FCS0009,SMARTCHEF,FRY CUTTER 8/10/12MM ,,2200,0.25,0.3,1650.0,1650.0,,FCS0009,FCS0009
XFCS0012,XFCS0012,XFCS0012,SMARTCHEF,BLOCK & BLADE 12MM - 7x7 HOLE,,600,0.25,0.3,450.0,450.0,,XFCS0012,XFCS0012
XFCS0010,XFCS0010,XFCS0010,SMARTCHEF,BLOCK & BLADE 10MM - 9x9 HOLE,,600,0.25,0.3,450.0,450.0,,XFCS0010,XFCS0010
XFCS0008,XFCS0008,XFCS0008,SMARTCHEF,BLOCK & BLADE 8MM - 11x11 HOLE,,600,0.25,0.3,450.0,450.0,,XFCS0008,XFCS0008
WBS0000,WBS0000,WBS0000,SMARTCHEF,WALL BRACKET FOR FRY CUTTER,,600,0.1,0.1,540.0,540.0,,WBS0000,WBS0000
CHS0006,CHS0006,CHS0006,SMARTCHEF,CHIPPER 14MM / 6 HOLE ,,1600,0.25,0.3,1200.0,1200.0,,CHS0006,CHS0006
XCHS0006-POS01,XCHS0006-POS01,XCHS0006-POS01,SMARTCHEF,BLADE 14MM - 6x6 HOLE,,400,0.25,0.3,300.0,300.0,,XCHS0006-POS01,XCHS0006-POS01
XCHS0006-POS03,XCHS0006-POS03,XCHS0006-POS03,SMARTCHEF,BLOCK 14MM - 6x6 HOLE,,200,0.25,0.3,150.0,150.0,,XCHS0006-POS03,XCHS0006-POS03
CHS0007,CHS0007,CHS0007,SMARTCHEF,CHIPPER 12MM / 7 HOLE,,1600,0.25,0.3,1200.0,1200.0,,CHS0007,CHS0007
XCHS0007-POS01,XCHS0007-POS01,XCHS0007-POS01,SMARTCHEF,BLADE 12MM - 7x7 HOLE,,400,0.25,0.3,300.0,300.0,,XCHS0007-POS01,XCHS0007-POS01
XCHS0007-POS03,XCHS0007-POS03,XCHS0007-POS03,SMARTCHEF,BLOCK 12MM - 7x7 HOLE,,200,0.25,0.3,150.0,150.0,,XCHS0007-POS03,XCHS0007-POS03
CBS0000,CBS0000,CBS0000,SMARTCHEF,CHIPPER BRIDGE,,600,0.1,0.1,540.0,540.0,,CBS0000,CBS0000
SPC0001,SPC0001,SPC0001,SMARTCHEF,SPIRAL POTATO CUTTER,,400,0.25,0.3,300.0,300.0,,SPC0001,SPC0001
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 10,PAGE 10,PAGE 10,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
MSC0220,MSC0220,MSC0220,CELME,MEAT SLICER - 220,,13200,0.25,0.3,9900.0,9900.0,,MSC0220,MSC0220
MSC0275,MSC0275,MSC0275,CELME,MEAT SLICER - 275,,17400,0.25,0.3,13050.0,13050.0,,MSC0275,MSC0275
MSC0300,MSC0300,MSC0300,CELME,MEAT SLICER - 300,,19800,0.25,0.3,14850.0,14850.0,,MSC0300,MSC0300
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 11,PAGE 11,PAGE 11,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
MSS0195,MSS0195,MSS0195,SMARTCHEF,MEAT SLICER - 195,,6400,0.25,0.3,4800.0,4800.0,,MSS0195,MSS0195
MSS0220,MSS0220,MSS0220,SMARTCHEF,MEAT SLICER - 220,,7000,0.25,0.3,5250.0,5250.0,,MSS0220,MSS0220
MSS0250,MSS0250,MSS0250,SMARTCHEF,MEAT SLICER - 250,,8000,0.25,0.3,6000.0,6000.0,,MSS0250,MSS0250
MSS0300,MSS0300,MSS0300,SMARTCHEF,MEAT SLICER - 300,,11000,0.25,0.3,8250.0,8250.0,,MSS0300,MSS0300
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 12,PAGE 12,PAGE 12,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
HPS0100,HPS0100,HPS0100,SMARTCHEF,HAMBURGER PATTY PRESS - 100MM,,2600,0.25,0.3,1950.0,1950.0,,HPS0100,HPS0100
HPS0130,HPS0130,HPS0130,SMARTCHEF,HAMBURGER PATTY PRESS - 130MM,,2800,0.25,0.3,2100.0,2100.0,,HPS0130,HPS0130
ORDER CODE,ORDER CODE,ORDER CODE,BRAND,,,LIST PRICE,DEALERS DISCOUNT,,,,,,
PAGE 14,PAGE 14,PAGE 14,,,,EXCL VAT,STANDARD,PREMIUM,,,,,
AKM6230B,AKM6230B,AKM6230B,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - BLACK,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230B,AKM6230B
AKM6230BD,AKM6230BD,AKM6230BD,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - BLACK DIAMOND,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230BD,AKM6230BD
AKM6230BC,AKM6230BC,AKM6230BC,ANKARSRUM,MIXER ANKARSRUM ORIGINAL - BLACK CHROME,P,15000,0.25,0.3,11250.0,11250.0,,AKM6230BC,AKM6230BC
